Lower tier local authorities Code,Lower tier local authorities,Occupation (current) (10 categories),Observation
E09000023,Lewisham,7. Sales and customer service occupations,9774
E09000023,Lewisham,"8. Process, plant and machine operatives",6369
E09000023,Lewisham,9. Elementary occupations,14530
E09000024,Merton,Does not apply,103124
E09000024,Merton,"1. Managers, directors and senior officials",17692
E09000024,Merton,2. Professional occupations,29411
E09000024,Merton,3. Associate professional and technical occupations,16337
E09000024,Merton,4. Administrative and secretarial occupations,9159
E09000024,Merton,5. Skilled trades occupations,9115
E09000024,Merton,"6. Caring, leisure and other service occupations",8623
E09000024,Merton,7. Sales and customer service occupations,7030
E09000024,Merton,"8. Process, plant and machine operatives",5202
E09000024,Merton,9. Elementary occupations,9496
E09000025,Newham,Does not apply,187591
E09000025,Newham,"1. Managers, directors and senior officials",15522
E09000025,Newham,2. Professional occupations,32704
E09000025,Newham,3. Associate professional and technical occupations,19608
E09000025,Newham,4. Administrative and secretarial occupations,12621
E09000025,Newham,5. Skilled trades occupations,16496
E09000025,Newham,"6. Caring, leisure and other service occupations",14189
E09000025,Newham,7. Sales and customer service occupations,14529
E09000025,Newham,"8. Process, plant and machine operatives",11822
E09000025,Newham,9. Elementary occupations,25954
E09000026,Redbridge,Does not apply,168633
E09000026,Redbridge,"1. Managers, directors and senior officials",18627
E09000026,Redbridge,2. Professional occupations,34456
E09000026,Redbridge,3. Associate professional and technical occupations,17250
E09000026,Redbridge,4. Administrative and secretarial occupations,14551
E09000026,Redbridge,5. Skilled trades occupations,12846
E09000026,Redbridge,"6. Caring, leisure and other service occupations",9843
E09000026,Redbridge,7. Sales and customer service occupations,10747
E09000026,Redbridge,"8. Process, plant and machine operatives",9229
E09000026,Redbridge,9. Elementary occupations,14078
E09000027,Richmond upon Thames,Does not apply,97713
E09000027,Richmond upon Thames,"1. Managers, directors and senior officials",23031
E09000027,Richmond upon Thames,2. Professional occupations,30417
E09000027,Richmond upon Thames,3. Associate professional and technical occupations,17549
E09000027,Richmond upon Thames,4. Administrative and secretarial occupations,6935
E09000027,Richmond upon Thames,5. Skilled trades occupations,4478
E09000027,Richmond upon Thames,"6. Caring, leisure and other service occupations",5468
E09000027,Richmond upon Thames,7. Sales and customer service occupations,3749
E09000027,Richmond upon Thames,"8. Process, plant and machine operatives",2187
E09000027,Richmond upon Thames,9. Elementary occupations,3752
E09000028,Southwark,Does not apply,140689
E09000028,Southwark,"1. Managers, directors and senior officials",23109
E09000028,Southwark,2. Professional occupations,51143
E09000028,Southwark,3. Associate professional and technical occupations,28878
E09000028,Southwark,4. Administrative and secretarial occupations,11443
E09000028,Southwark,5. Skilled trades occupations,8030
E09000028,Southwark,"6. Caring, leisure and other service occupations",12816
E09000028,Southwark,7. Sales and customer service occupations,8705
E09000028,Southwark,"8. Process, plant and machine operatives",5990
E09000028,Southwark,9. Elementary occupations,16833
E09000029,Sutton,Does not apply,105415
E09000029,Sutton,"1. Managers, directors and senior officials",14604
E09000029,Sutton,2. Professional occupations,25047
E09000029,Sutton,3. Associate professional and technical occupations,14218
E09000029,Sutton,4. Administrative and secretarial occupations,11239
E09000029,Sutton,5. Skilled trades occupations,10383
E09000029,Sutton,"6. Caring, leisure and other service occupations",9022
E09000029,Sutton,7. Sales and customer service occupations,6802
