areaCode,borough,occupationType,jobholders
E09000032,Wandsworth,Sales and customer service occupations,8031
E09000032,Wandsworth,Process and plant and machine operatives,5178
E09000032,Wandsworth,Elementary occupations,10011
E09000033,Westminster,Managers and directors and senior officials,22858
E09000033,Westminster,Professional occupations,31136
E09000033,Westminster,Associate professional and technical occupations,17588
E09000033,Westminster,Administrative and secretarial occupations,6750
E09000033,Westminster,Skilled trades occupations,3481
E09000033,Westminster,Caring and leisure and other service occupations,6187
E09000033,Westminster,Sales and customer service occupations,5211
E09000033,Westminster,Process and plant and machine operatives,2781
E09000033,Westminster,Elementary occupations,5750
